full_name,gender,classification_method,role,total_mentions,mentions_openai,mentions_anthropic,mentions_perplexity,mentions_gemini,mentions_by_category,first_mention_context
Mark Zuckerberg,M,gender-guesser,founder_ceo,98,25,10,30,33,"{""ICT"": 89, ""networking and telecommunications"": 3, ""AI and machine learning"": 6}","Mark Zuckerberg: As the co-founder and CEO of Meta Platforms (formerly Facebook), he is a key player in the development of social media"
Reed Hastings,M,gender-guesser,founder_ceo,13,7,5,0,1,"{""ICT"": 6, ""cloud and infrastructure"": 2, ""networking and telecommunications"": 5}","Reed Hastings: Co-founder of Netflix, Hastings has been influential in transforming media consumption through streaming technology."
Bruce Schneier,M,gender-guesser,analyst,330,69,100,31,130,"{""ICT"": 88, ""cybersecurity"": 223, ""networking and telecommunications"": 12, ""software engineering"": 4, ""cloud and infrastructure"": 3}","Bruce Schneier: A renowned security technologist and author known for his work on cryptography, privacy, and security policy."
Mikko Hyppönen,M,gender-guesser,vendor_exec,220,68,77,22,53,"{""ICT"": 33, ""cybersecurity"": 187}",Mikko Hyppönen: A cybersecurity expert who has been involved in the fight against malware and cyber threats.
Mary Meeker,F,llm-high,analyst,94,28,34,0,32,"{""ICT"": 84, ""cloud and infrastructure"": 2, ""networking and telecommunications"": 8}",Mary Meeker provides valuable insights into technology adoption and ICT developments.
Benedict Evans,M,gender-guesser,analyst,91,9,62,0,20,"{""ICT"": 61, ""networking and telecommunications"": 11, ""AI and machine learning"": 18, ""software engineering"": 1}",Ben Evans provides analysis on technology trends through his blog and presentations.
Shira Ovide,F,gender-guesser,journalist,4,2,0,0,2,"{""ICT"": 4}",Shira Ovide often provides analysis and insights on ICT issues and developments.
Vala Afshar,F,gender-guesser,vendor_exec,5,3,0,1,1,"{""ICT"": 4, ""AI and machine learning"": 1}","Follow thought leaders and experts in ICT such as Vala Afshar, Dion Hinchcliffe, and others who frequently share their insights"
Dion Hinchcliffe,M,gender-guesser,analyst,10,2,0,0,8,"{""ICT"": 10}","Follow thought leaders and experts in ICT such as Vala Afshar, Dion Hinchcliffe, and others who frequently share their insights"
Margrethe Vestager,F,gender-guesser,practitioner,19,3,8,0,8,"{""ICT"": 16, ""networking and telecommunications"": 3}","Margrethe Vestager: As the European Commissioner for Competition, Vestager has been a key figure in regulating tech giants and shaping ICT policies."
Ajay Banga,M,gender-guesser,vendor_exec,1,1,0,0,0,"{""ICT"": 1}","Ajay Banga: As the President of the World Bank, he influences global ICT policies, particularly in how technology is used for economic development."
Jony Ive,M,llm-high,practitioner,1,1,0,0,0,"{""ICT"": 1}","Former Chief Design Officer at Apple, Ive has had a significant impact on product design and user interface in technology."
Hiroshi Mikitani,M,gender-guesser,founder_ceo,1,1,0,0,0,"{""ICT"": 1}","Founder and CEO of Rakuten, Mikitani is a leading voice in e-commerce and digital finance."
Ben Thompson,M,gender-guesser,analyst,122,18,39,9,56,"{""ICT"": 60, ""cloud and infrastructure"": 25, ""software engineering"": 20, ""AI and machine learning"": 13, ""data and analytics"": 1, ""networking and telecommunications"": 3}",Ben Thompson (Stratechery) - Offers insightful analysis on the strategy and business side of technology.
Tim Cook,M,gender-guesser,vendor_exec,113,13,42,22,36,"{""ICT"": 107, ""networking and telecommunications"": 5, ""AI and machine learning"": 1}","CEO of Apple, Cook is a prominent figure in consumer electronics and digital communication through devices like the iPhone and services like iCloud."
Kara Swisher,F,gender-guesser,journalist,64,8,12,22,22,"{""ICT"": 56, ""cloud and infrastructure"": 1, ""AI and machine learning"": 7}",Kara Swisher: A prominent tech journalist known for her insights into tech companies and trends.
Ray Wang,M,llm-high,founder_ceo,40,9,3,0,28,"{""ICT"": 31, ""cloud and infrastructure"": 9}","Ray Wang: CEO of Constellation Research, focusing on digital transformation."
Marques Brownlee,M,gender-guesser,influencer,3,3,0,0,0,"{""ICT"": 3}",People like Marques Brownlee (MKBHD) or Linus Sebastian (Linus Tech Tips) who often discuss and analyze the latest in tech.
Linus Sebastian,M,gender-guesser,influencer,2,2,0,0,0,"{""ICT"": 2}",People like Marques Brownlee (MKBHD) or Linus Sebastian (Linus Tech Tips) who often discuss and analyze the latest in tech.
Kathy Baxter,F,gender-guesser,practitioner,1,1,0,0,0,"{""ICT"": 1}","Kathy Baxter - A research scientist at Salesforce, Baxter shares insights on AI ethics and user experience in technology."
Simon Wardley,M,gender-guesser,analyst,101,21,34,2,44,"{""ICT"": 3, ""cloud and infrastructure"": 91, ""software engineering"": 7}","Simon Wardley (@swardley) - Known for Wardley Maps, Simon provides a strategic view of technology and its future direction."
Walt Mossberg,M,gender-guesser,journalist,5,4,1,0,0,"{""ICT"": 5}",Walt Mossberg - A veteran tech journalist with insightful perspectives.
Brian Solis,M,gender-guesser,vendor_exec,19,1,0,16,2,"{""ICT"": 19}","Brian Solis: Digital analyst and futurist, known for his insights on digital transformation."
Clay Shirky,M,gender-guesser,analyst,23,8,13,0,2,"{""ICT"": 23}",Clay Shirky - Known for his work on the social and economic effects of Internet technologies.
Nicholas G. Carr,M,gender-guesser,journalist,27,17,3,5,2,"{""ICT"": 21, ""networking and telecommunications"": 6}","Nicholas Carr - Author of ""The Shallows,"" discussing the impact of the Internet on cognition and society."
Sherry Turkle,F,gender-guesser,academic,43,16,16,0,11,"{""ICT"": 42, ""networking and telecommunications"": 1}",Sherry Turkle - A psychologist and sociologist who has written extensively on the human aspects of digital technology.
Lawrence Lessig,M,gender-guesser,academic,37,9,9,0,19,"{""ICT"": 31, ""networking and telecommunications"": 5, ""cybersecurity"": 1}",Lawrence Lessig - A legal scholar known for his work on Internet law and digital rights.
Yochai Benkler,M,gender-guesser,academic,32,4,10,0,18,"{""ICT"": 29, ""networking and telecommunications"": 3}",Yochai Benkler - An academic whose work focuses on the commons and peer production in the digital age.
Tim O'Reilly,M,gender-guesser,founder_ceo,23,5,13,1,4,"{""ICT"": 19, ""cloud and infrastructure"": 2, ""AI and machine learning"": 2}","Tim O'Reilly: Often called the ""Oracle of Silicon Valley,"" O'Reilly is known for his insights on technology trends and the impact of technology on business and society."
Clayton M. Christensen,M,gender-guesser,academic,19,7,8,1,3,"{""ICT"": 19}","Clayton M. Christensen: Known for his work on disruptive innovation, Christensen's theories have had a significant influence on ICT strategies and development."
Evgeny Morozov,M,gender-guesser,analyst,23,8,4,0,11,"{""ICT"": 23}","Evgeny Morozov: A prominent critic of the internet and technology's role in society, Morozov's work challenges the uncritical embrace of digital technologies."
Kevin Kelly,M,gender-guesser,journalist,14,8,4,0,2,"{""ICT"": 13, ""AI and machine learning"": 1}","Kevin Kelly: A founding executive editor of Wired magazine, Kelly's writings cover a broad range of topics related to technology's impact on culture and society."
David Cearley,M,gender-guesser,analyst,13,3,0,0,10,"{""ICT"": 11, ""AI and machine learning"": 2}",Analysts like David Cearley and Brian Burke often provide valuable insights.
Brian Burke,M,gender-guesser,analyst,4,2,0,0,2,"{""ICT"": 4}",Analysts like David Cearley and Brian Burke often provide valuable insights.
Frank Gens,M,gender-guesser,analyst,28,3,11,0,14,"{""ICT"": 16, ""cloud and infrastructure"": 12}",Analysts such as Frank Gens and Crawford Del Prete are influential voices.
Crawford Del Prete,M,gender-guesser,analyst,9,3,1,0,5,"{""ICT"": 9}",Analysts such as Frank Gens and Crawford Del Prete are influential voices.
J.P. Gownder,unclassified,unclassified,analyst,4,2,0,0,2,"{""ICT"": 4}",Analysts like J.P. Gownder and James Staten offer deep insights.
James Staten,M,gender-guesser,analyst,10,5,5,0,0,"{""ICT"": 1, ""cloud and infrastructure"": 9}",Analysts like J.P. Gownder and James Staten offer deep insights.
Mary Jo Foley,F,llm-high,journalist,6,5,0,0,1,"{""ICT"": 2, ""cloud and infrastructure"": 4}",Mary Jo Foley: Known for her expertise in Microsoft and enterprise technologies.
Erik Brynjolfsson,M,gender-guesser,academic,41,6,9,0,26,"{""ICT"": 29, ""software engineering"": 1, ""data and analytics"": 3, ""AI and machine learning"": 8}","Erik Brynjolfsson: A professor at Stanford, known for his work on the economic impacts of IT."
Jaron Lanier,M,gender-guesser,practitioner,18,9,1,0,8,"{""ICT"": 18}","A computer scientist and pioneer in virtual reality, Lanier is also a critic of social media and its societal effects."
Manuel Castells,M,gender-guesser,academic,41,8,16,0,17,"{""ICT"": 38, ""networking and telecommunications"": 3}","A sociologist known for his research on the information society, communication, and globalization."
Howard Rheingold,M,gender-guesser,influencer,4,1,1,0,2,"{""ICT"": 4}","An early commentator on virtual communities and the social implications of the internet, known for books like ""The Virtual Community"" and ""Smart Mobs."""
Arvind Krishna,M,gender-guesser,vendor_exec,56,29,0,21,6,"{""ICT"": 12, ""cloud and infrastructure"": 38, ""networking and telecommunications"": 6}","Following leaders from major tech companies, such as Satya Nadella (Microsoft), Sundar Pichai (Google), and Arvind Krishna (IBM)."
Tamara McCleary,F,gender-guesser,founder_ceo,7,1,0,6,0,"{""ICT"": 7}","Professionals such as Vala Afshar, Tamara McCleary, and Dion Hinchcliffe frequently share their thoughts on ICT trends."
Eric Schmidt,M,gender-guesser,vendor_exec,17,1,8,8,0,"{""ICT"": 3, ""networking and telecommunications"": 14}","Eric Schmidt - Former CEO of Google, who often speaks on the future of technology and AI."
Andrew McAfee,M,gender-guesser,academic,29,5,7,0,17,"{""ICT"": 16, ""software engineering"": 1, ""AI and machine learning"": 7, ""data and analytics"": 5}","Andrew McAfee and Erik Brynjolfsson - Known for their work on the implications of technology on business and the economy, particularly in books like ""The Second Machine Age."""
Esther Dyson,F,gender-guesser,influencer,1,1,0,0,0,"{""ICT"": 1}",Esther Dyson - A prominent angel investor and commentator on emerging digital technologies and their societal implications.
Donald Norman,M,gender-guesser,academic,4,1,0,0,3,"{""ICT"": 4}",Donald Norman - Known for his work on user-centered design and the usability of ICT products.
Paul Dourish,M,gender-guesser,academic,1,1,0,0,0,"{""ICT"": 1}",Paul Dourish - A significant figure in human-computer interaction and ubiquitous computing.
danah boyd,F,gender-guesser,academic,17,3,12,0,2,"{""ICT"": 15, ""data and analytics"": 1, ""networking and telecommunications"": 1}",danah boyd - Known for her research on social media and its effects on teens and society.
Don Tapscott,M,gender-guesser,influencer,10,2,8,0,0,"{""ICT"": 10}","Don Tapscott - An author and consultant on the impact of ICT on business and society, Tapscott is known for his work on digital economies and blockchain."
Cathy O'Neil,F,gender-guesser,influencer,247,74,99,1,73,"{""ICT"": 59, ""AI and machine learning"": 24, ""data and analytics"": 162, ""software engineering"": 1, ""cloud and infrastructure"": 1}","Cathy O'Neil - Author of ""Weapons of Math Destruction,"" she discusses the ethical implications of big data and algorithms."
Nicholas Negroponte,M,gender-guesser,founder_ceo,11,4,7,0,0,"{""ICT"": 8, ""networking and telecommunications"": 3}","Nicholas Negroponte - Co-founder of the MIT Media Lab, he has been a prominent voice in the convergence of technology and media."
Andrew Y. Ng,M,gender-guesser,academic,543,102,161,90,190,"{""ICT"": 131, ""AI and machine learning"": 255, ""data and analytics"": 151, ""cloud and infrastructure"": 3, ""software engineering"": 3}",Scholars like Andrew Ng and Fei-Fei Li are well-known for their work in AI and machine learning.
Kevin Mitnick,M,gender-guesser,practitioner,95,52,25,11,7,"{""ICT"": 3, ""cybersecurity"": 92}",Thought Leaders on Social Media: Individuals like Kevin Mitnick or Sheryl Sandberg share insights that can have a substantial impact on ICT trends.
Daryl Plummer,unclassified,unclassified,analyst,2,1,1,0,0,"{""ICT"": 2}",Analysts such as Daryl Plummer and David Cearley have been influential in technology trends.
Jeffrey Hammond,M,gender-guesser,analyst,8,1,3,0,4,"{""ICT"": 1, ""software engineering"": 7}",Analysts like J.P. Gownder and Jeffrey Hammond are often cited in technology circles.
Ed Barton,M,gender-guesser,analyst,1,1,0,0,0,"{""ICT"": 1}",Analysts like Ed Barton and Tony Gunnarsson provide expertise in media and entertainment tech.
Tony Gunnarsson,M,gender-guesser,analyst,1,1,0,0,0,"{""ICT"": 1}",Analysts like Ed Barton and Tony Gunnarsson provide expertise in media and entertainment tech.
William Fellows,M,gender-guesser,analyst,10,2,3,0,5,"{""ICT"": 2, ""cloud and infrastructure"": 8}",Analysts like William Fellows and Carl Lehmann are recognized for their work on cloud and hybrid IT.
Carl Lehmann,M,gender-guesser,analyst,1,1,0,0,0,"{""ICT"": 1}",Analysts like William Fellows and Carl Lehmann are recognized for their work on cloud and hybrid IT.
Stowe Boyd,unclassified,unclassified,analyst,1,1,0,0,0,"{""ICT"": 1}",Analysts like Stowe Boyd and Enrico Signoretti are notable contributors.
Enrico Signoretti,M,gender-guesser,analyst,1,1,0,0,0,"{""ICT"": 1}",Analysts like Stowe Boyd and Enrico Signoretti are notable contributors.
Andrew S. Tanenbaum,M,gender-guesser,academic,63,30,9,0,24,"{""ICT"": 1, ""networking and telecommunications"": 62}",Andrew S. Tanenbaum: Known for his books on computer science and networking.
"LeCun, Yann",M,llm-high,academic,488,84,174,56,174,"{""ICT"": 154, ""AI and machine learning"": 254, ""data and analytics"": 76, ""networking and telecommunications"": 1, ""software engineering"": 3}","Individuals such as Tim Berners-Lee, Vint Cerf, and more recently, AI researchers like Yann LeCun and Andrew Ng, are influential voices."
Ada Lovelace,F,gender-guesser,practitioner,134,25,41,37,31,"{""ICT"": 61, ""cybersecurity"": 5, ""software engineering"": 39, ""data and analytics"": 17, ""networking and telecommunications"": 5, ""AI and machine learning"": 7}","Often considered the first computer programmer, Ada Lovelace worked on Charles Babbage's early mechanical general-purpose computer, the Analytical Engine."
Grace Hopper,F,gender-guesser,practitioner,175,30,39,62,44,"{""ICT"": 75, ""cybersecurity"": 5, ""software engineering"": 60, ""data and analytics"": 19, ""networking and telecommunications"": 15, ""AI and machine learning"": 1}","A pioneer of computer programming, she developed the first compiler for a computer programming language and was instrumental in the development of COBOL."
Hedy Lamarr,F,gender-guesser,other,75,16,32,5,22,"{""ICT"": 44, ""software engineering"": 11, ""networking and telecommunications"": 17, ""AI and machine learning"": 3}","Best known as a Hollywood actress, Hedy Lamarr was also an inventor. She co-developed a frequency-hopping spread spectrum communication system."
Radia Perlman,F,gender-guesser,practitioner,192,57,43,36,56,"{""ICT"": 58, ""software engineering"": 31, ""networking and telecommunications"": 101, ""cybersecurity"": 1, ""cloud and infrastructure"": 1}","Known as the ""Mother of the Internet,"" Perlman invented the Spanning Tree Protocol (STP), which is fundamental to the operation of network bridges."
Shafi Goldwasser,F,llm-high,academic,67,17,30,6,14,"{""ICT"": 42, ""software engineering"": 21, ""AI and machine learning"": 3, ""networking and telecommunications"": 1}","A prominent computer scientist known for her work in cryptography, Goldwasser has made significant contributions to the field."
Megan Smith,F,gender-guesser,practitioner,27,11,0,15,1,"{""ICT"": 26, ""data and analytics"": 1}","As the third Chief Technology Officer of the United States, Smith worked to broaden the reach of technology and innovation across sectors."
Jean E. Sammet,M,gender-guesser,practitioner,5,4,1,0,0,"{""ICT"": 2, ""software engineering"": 3}","A computer scientist known for her work on programming languages, Jean Sammet developed the FORMAC programming language."
Anita Borg,F,gender-guesser,founder_ceo,29,16,0,8,5,"{""ICT"": 11, ""software engineering"": 18}","A computer scientist and advocate for women in technology, Anita Borg founded the Institute for Women and Technology."
Katherine Johnson,F,gender-guesser,practitioner,73,5,29,28,11,"{""ICT"": 36, ""cloud and infrastructure"": 1, ""software engineering"": 16, ""data and analytics"": 11, ""networking and telecommunications"": 7, ""AI and machine learning"": 2}",A mathematician whose calculations of orbital mechanics were critical to the success of the first U.S. crewed spaceflights.
Frances E. Allen,F,gender-guesser,academic,54,10,23,0,21,"{""ICT"": 28, ""software engineering"": 23, ""cloud and infrastructure"": 1, ""networking and telecommunications"": 2}","The first woman to win the Turing Award, Frances Allen made fundamental contributions to optimizing compilers."
Karen Spärck Jones,F,gender-guesser,academic,16,1,0,4,11,"{""ICT"": 10, ""software engineering"": 6}","A pioneer in information retrieval and natural language processing, her work laid the groundwork for modern search engines."
Mitchell Baker,M,gender-guesser,founder_ceo,12,3,2,6,1,"{""ICT"": 5, ""software engineering"": 7}","Chairwoman and former CEO of Mozilla Corporation, she played a key role in the development and launch of the Mozilla Firefox web browser."
Charles Babbage,M,gender-guesser,academic,11,1,0,0,10,"{""ICT"": 5, ""AI and machine learning"": 1, ""software engineering"": 4, ""data and analytics"": 1}","she worked on Charles Babbage's early mechanical general-purpose computer, the Analytical Engine."
Barbara Liskov,F,gender-guesser,academic,101,22,63,6,10,"{""ICT"": 42, ""software engineering"": 57, ""networking and telecommunications"": 2}","A leader in programming languages and distributed computing, Barbara Liskov developed the Liskov substitution principle."
Safra Catz,F,llm-high,vendor_exec,59,15,28,2,14,"{""ICT"": 26, ""cloud and infrastructure"": 26, ""networking and telecommunications"": 7}","Serving as the CEO of Oracle Corporation, Catz has been pivotal in steering the company through major acquisitions and into new technological territories."
Joi Ito,M,llm-high,academic,2,1,1,0,0,"{""ICT"": 2}","Joi Ito: Former Director of the MIT Media Lab, known for his work on internet policy and innovation."
Larry Page,M,gender-guesser,founder_ceo,26,1,5,10,10,"{""ICT"": 21, ""software engineering"": 5}","Larry Page and Sergey Brin - Co-founders of Google, instrumental in advancing search technology, AI, and various internet services."
Sergey Brin,M,gender-guesser,founder_ceo,26,1,5,10,10,"{""ICT"": 21, ""software engineering"": 5}","Larry Page and Sergey Brin - Co-founders of Google, instrumental in advancing search technology, AI, and various internet services."
Jeffrey Ullman,M,gender-guesser,academic,5,5,0,0,0,"{""ICT"": 1, ""data and analytics"": 3, ""networking and telecommunications"": 1}","A computer scientist best known for his work on algorithms and programming languages, Ullman has contributed significantly to education."
Esther Wojcicki,F,gender-guesser,academic,1,1,0,0,0,"{""ICT"": 1}","A prominent educator and advocate for digital literacy, Wojcicki has been influential in integrating technology in education."
Jensen Huang,M,llm-high,founder_ceo,240,16,105,14,105,"{""ICT"": 130, ""cloud and infrastructure"": 20, ""networking and telecommunications"": 18, ""AI and machine learning"": 57, ""cybersecurity"": 1, ""data and analytics"": 13, ""software engineering"": 1}","Jensen Huang - Co-founder and CEO of NVIDIA, a leader in graphics processing units crucial for AI and gaming"
Brian Krebs,M,gender-guesser,journalist,242,61,67,46,68,"{""cybersecurity"": 217, ""ICT"": 25}","A journalist who runs the blog ""Krebs on Security,"" he is known for his investigative work on cybercrime and cybersecurity issues."
Eugene Kaspersky,M,gender-guesser,founder_ceo,60,34,10,2,14,"{""cybersecurity"": 48, ""cloud and infrastructure"": 1, ""ICT"": 11}","Founder of Kaspersky Lab, one of the largest privately-owned cybersecurity companies, he is a prominent figure in the cybersecurity industry."
Dan Kaminsky,M,gender-guesser,practitioner,63,44,18,0,1,"{""cybersecurity"": 62, ""ICT"": 1}","Known for his work on DNS security, Kaminsky was a respected researcher who made several significant contributions to internet security."
Parisa Tabriz,F,gender-guesser,vendor_exec,40,12,19,0,9,"{""cybersecurity"": 40}","Known as Google's ""Security Princess,"" Tabriz has led Google's Chrome security team and has been influential in improving web security."
Eva Galperin,F,gender-guesser,practitioner,51,38,3,2,8,"{""cybersecurity"": 51}","Director of Cybersecurity at the Electronic Frontier Foundation (EFF), Galperin focuses on privacy and security for vulnerable populations."
Katie Moussouris,F,gender-guesser,founder_ceo,162,42,58,0,62,"{""cybersecurity"": 154, ""ICT"": 3, ""cloud and infrastructure"": 5}","A pioneer in vulnerability disclosure and bug bounty programs, Moussouris is the founder of Luta Security and a strong advocate for coordinated vulnerability disclosure."
Cory Doctorow,M,llm-high,influencer,16,3,2,8,3,"{""cybersecurity"": 3, ""software engineering"": 9, ""ICT"": 4}","An author, activist, and journalist who writes extensively on issues related to privacy, security, and digital rights."
Dimitri Alperovitch,M,gender-guesser,founder_ceo,72,2,15,17,38,"{""cybersecurity"": 72}","Dmitri Alperovitch - Co-founder of CrowdStrike, Alperovitch is known for his expertise in cybersecurity strategy and threat analysis."
Charlie Miller,unclassified,unclassified,practitioner,9,8,0,0,1,"{""cybersecurity"": 9}","Charlie Miller - A noted hacker and security researcher, Miller has made significant contributions to understanding vulnerabilities in various systems."
Joanna Rutkowska,F,gender-guesser,founder_ceo,9,9,0,0,0,"{""cybersecurity"": 9}","Joanna Rutkowska - Known for her work on operating system security and creator of Qubes OS, Rutkowska is a prominent figure in cybersecurity research."
Cliff Stoll,M,gender-guesser,academic,1,1,0,0,0,"{""cybersecurity"": 1}","An astronomer and author, known for his book 'The Cuckoo's Egg,' which details how he tracked a hacker who broke into numerous U.S. government systems."
Christopher Wylie,M,gender-guesser,other,5,5,0,0,0,"{""cybersecurity"": 5}",A data scientist who became known for his role in exposing the Facebook-Cambridge Analytica data scandal.
